word,frequency,avg_weight,pct_emails,direction
bank,10,0.0154,33.3,phishing
account,9,0.0359,30.0,phishing
customer,8,0.0088,26.7,phishing
ebay,7,0.1448,23.3,phishing
dear,5,0.0289,16.7,phishing
fifth,3,0.0222,10.0,phishing
amazon,3,0.1436,10.0,phishing
online,3,0.0121,10.0,phishing
message,3,0.0221,10.0,phishing
fraud,2,0.0358,6.7,phishing
num,10,0.0737,33.3,legitimate
free,4,0.1815,13.3,legitimate
attached,3,0.0048,10.0,legitimate
discussion,3,0.0002,10.0,legitimate
power,3,0.0028,10.0,legitimate
home,2,0.1638,6.7,legitimate
enron,2,0.0015,6.7,legitimate
memo,2,0.0104,6.7,legitimate
meeting,2,0.0042,6.7,legitimate
image,2,0.3063,6.7,legitimate
