word,frequency,avg_weight,pct_emails,direction
bank,18,0.0488,60.0,phishing
account,15,0.0907,50.0,phishing
member,10,0.0326,33.3,phishing
security,9,0.0404,30.0,phishing
customer,8,0.0271,26.7,phishing
third,8,0.0281,26.7,phishing
online,7,0.0366,23.3,phishing
information,7,0.0301,23.3,phishing
banking,6,0.0329,20.0,phishing
ebay,6,0.1074,20.0,phishing
num,21,0.0223,70.0,legitimate
today,6,0.0129,20.0,legitimate
list,6,0.0202,20.0,legitimate
attached,5,0.0372,16.7,legitimate
image,5,0.0397,16.7,legitimate
call,5,0.0171,16.7,legitimate
meeting,5,0.0189,16.7,legitimate
need,4,0.0105,13.3,legitimate
available,4,0.0175,13.3,legitimate
report,4,0.0193,13.3,legitimate
